nn;word;transcription;translate
38;slay (slew, slain);[sle?];умертвить
39;persist;[p??s?st];сохраниться
;persistent;[p??s?st?nt];стойкий, устойчивый
;persistence;[p??s?st?ns];упорство
40;wide;[wa?d];широкий, просторный
;widen;[?wa?dn];расширять
41;width;[w?d?];ширина
42;quarter;[?kw??t?];четверть
43;vanish;[?v?n??];исчезнуть
44;stir;[st??];шевелить(ся), двигать и т.д.
45;opening;[???pn??];отверстие
46;library;[?la?br?ri];библиотека
;librarian;[la??bre?r??n];библиотекарь
47;link;[l??k];связь, звено, ссылка
;linkage;[?l??k??];связывание
48;expose;[?ks?p??z];выставлять, обнажать
;exposition;[??ksp???z???n];выставка, выставление
49;dig up;[d?g?p];откопать
50;narrate;[n??re?t];повествовать, рассказывать
;narrative;[?n?r?t?v];рассказ, повествовательный
;narration;[n??re???n];пересказ
51;enable;[??ne?bl];давать возможность
52;laugh;[l??f];смеяться
53;example;[?g?z??mpl];пример
;for example;[f??r?g?z??mpl];например
54;stake;[ste?k];стойка, кол, столб
55;decent;[?di?snt];приличный, достойный
;indecent;[?n?di?snt];неприличный
;decency;[?di?snsi];порядочность
;indecency;[?n?di?snsi];непристойность
56;owe;[??];быть обязанным чем-л.
;owing;[?????];обязанный, должный
57;glove;[gl?v];перчатка
58;cure;[kj??];лечить
;curable;[?kj??r?bl];излечимый
;incurable;[?n?kj??r?bl];неизлечимый
;curative;[?kj??r?t?v];лечебный
59;avoid;[??v??d];избегать
;avoidance;[??v??d?ns];уклонение
60;think over;[???k???v?];обдумать
;think through;[???k?ru?];взвесить
61;emerge;[??m???];появляться
;emergent;[??m????nt];возникающий
;emergence;[??m????ns];появление
62;take;[te?k];воспринимать
63;fisherman;[?f???m?n];рыбак
;fishery;[?f???ri];рыболовство
64;conscious;[?k?n??s];сознательный, сознающий
;unconscious;[?n?k?n??s];без сознания
;consciousness;[?k?n??sn?s];сознание
;subconscious;[?s?b?k?n??s];подсознательный
;subconsciousness;[?s?b?k?n??sn?s];подсознание
65;detect;[d??t?kt];обнаружить, выявить
66;anywhere;[??n?we?];где угодно, куда угодно
;anyhow;[??n?ha?];как угодно
67;dare;[de?];осмелиться
68;anger;[???g?];гнев
69;stuff;[st?f];вещи, всякая фигня
70;fortunate;[?f???n?t];удачный
;fortunately;[?f???n?tli];к счастью
;unfortunately;[?n?f???n?tli];к сожалению
;unfortunate;[?n?f???n?t];несчастный
71;wilderness;[?w?ld?n?s];глушь, дикая местность
72;shut out;[??ta?t];не впускать
;shut in;[??t?n];не выпускать
73;noise;[n??z];шум
;noisy;[?n??zi];шумный
;noiseless;[?n??zl?s];бесшумный
74;fat;[f?t];жир, жирный
;fatness;[?f?tn?s];упитанность
;fatten;[?f?tn];откармливать
75;fail;[fe?l];потерпеть неудачу
76;steady;[?st?di];устойчивый
;steadiness;[?st?d?n?s];устойчивость
;unsteady;[?n?st?di];неустойчивый
77;loss;[l?s];потеря
78;path;[p???];путь
;pathway;[?p???we?];путь
79;upside down;[??psa?dda?n];вверх ногами
80;cozy;[?k??zi];уютный
81;depict;[d??p?kt];изображать, описывать
;depiction;[d??p?k?(?)n];описание
82;room;[ru?m];место, пространство
;roomy;[?ru?mi];вместительный
83;lens;[l?nz];линза, объектив
84;tail;[te?l];хвост
;tails;[te?lz];обрезки, отходы
;tailed;[te?ld];хвостатый
85;can;[k?n];жестяная банка
;canned;[k?nd];консервированный
86;flour;[?fla??];мука
87;magazine;[?m?g??zi?n];журнал
88;tense;[t?ns];напряжённый, напрягать
;tension;[?t?n??n];напряженность
89;way;[we?];способ
90;split (split, split);[spl?t];расколоться, распасться
91;ring (rang, rung);[r??];звонить, звонок
92;thumb;[??m];большой палец
93;boundary;[?ba?nd?ri];граница, черта
94;wage;[we??];заработок, оплата
95;point;[p??nt];смысл, суть
;pointless;[?p?ntl?s];бессмысленный
96;favor (favour);[?fe?v?];благоприятствовать
;favourite;[?fe?v?r?t];любимый
;favorable;[?fe?v?r?bl];благоприятный
;unfavorable;[?n?fe?v?r?bl];неблагоприятный
97;chef;[??f];шеф-повар
98;considerable;[k?n?s?d?r?bl];крупный, значительный
;inconsiderable;[??nk?n?s?d?r?bl];незначительный
99;multiple;[?m?lt?pl];множественный, неединичный
100;lessen;[?l?sn];уменьшать(ся)
101;landmark;[?l?ndm??k];ориентир
102;solid;[?s?l?d];сплошной
103;herb;[h??b];трава
;herbal;[?h??b?l];травяной
104;topic;[?t?p?k];тема, предмет обсуждения
;topical;[?t?p?k?l];актуальный, тематический
105;hurt (hurt, hurt);[h??t];причинять боль или болеть
106;affiliate;[??f?l?e?t];филиал, отделение, мл. партнёр
;affiliated;[??f?l?e?t?d];аффилированный
;affiliation;[??f?l??e??(?)n];присоединение
107;anxiety;[???za??ti];беспокойство, тревога
108;wave;[we?v];волна
109;long ago;[l????g??];давно
110;space;[spe?s];пространство
;spacious;[?spe???s];просторный
;spatial;[?spe???l];пространственный
111;cord;[k??d];верёвка, шнур
112;vision;[?v???n];зрение или видение
;visionary;[?v??n?ri];провидец, мечтатель
113;dozen;[?d?zn];дюжина
114;several;[?s?vr?l];несколько
115;terms;[t??mz];отношения
116;generous;[???n?r?s];великодушный, щедрый
;generosity;[???n??r?s?ti];щедрость
117;bay;[be?];залив
118;duty;[?dju?ti];обязанность, служба
;dutiful;[?dju?t?f?l];ответственный, обязательный
119;database;[?de?t??be?s];база данных
120;prompt;[pr?mpt];побуждать, подстрекать
;prompting;[pr?mpt??];побуждение, подсказка
121;observe;[?b?z??v];наблюдать
;observation;[??bz?(?)?ve???n];наблюдение
;observer;[?b?z??v?];наблюдатель
122;spill;[sp?l];проливать, рассыпать
123;brief;[bri?f];краткий
124;neck;[n?k];шея
125;society;[s??sa??ti];общество
;societal;[s??sa??tl];общественный
126;weak;[wi?k];слабый
;weakness;[?wi?kn?s];слабость
;weaken;[?wi?k?n];ослабевать
127;result in;[r??z?lt?n];привести к
;result;[r??z?lt];результат
128;day off;[de??f];выходной
129;customs;[?k?st?mz];таможня
130;greet;[gri?t];приветствовать
;greeting;[?gri?t??];приветствие
131;edge;[??];край
;edged;[??d];окруженный, окантованный
;edgy;[???i];острый или раздражительный
132;preserve;[pr??z??v];сохранять, беречь
;preservation;[?pr?z?(?)?ve???n];сохранение
133;handsome;[?h?ns?m];красивый (обычно о мужчинах)
134;lack;[l?k];недостаток, нуждаться
135;skin;[sk?n];кожа
136;encourage;[?n?k?r??];поддерживать, поощрять
;encouragement;[?n?k?r??m?nt];поощрение
137;discourage;[d?s?k?r??];отговорить, демотивировать
;discouragement;[d?s?k?r??m?nt];упадок духа, обескураженность
138;harass;[?h?r?s];тревожить, изводить
;harassment;[?h?r?sm?nt];домогательство
139;task;[t??sk];задание, задача
140;aid;[e?d];помощь, помогать
;aiding;[?e?d??];вспомогательный
141;boil;[b??l];кипеть, кипятить, варить
;boiler;[?b??l?];котел
142;adventure;[?d?v?n??];приключение
;adventurer;[?d?v?n??r?];авантюрист
;adventurous;[?d?v?n??r?s];авантюрный
143;weave (wove, woven);[wi?v];плести, ткать
144;flavor;[?fle?v?];вкус, приправлять
145;remove;[r??mu?v];убрать, удалить
;removal;[r??mu?v?l];удаление
146;shadow;[???d??];тень
;shadowy;[???d??i];тёмный, смутный
147;suburb;[?s?b??b];пригород
;suburban;[s??b??b?n];пригородный
148;complex;[?k?mpl?ks];сложный
;complexity;[k?m?pl?ks?ti];сложность
149;birth;[b???];рождение
;birthday;[?b???de?];день рождения
150;exploit;[??kspl??t];использовать, эксплуатировать
;exploitation;[??kspl???te???n];использование, эксплуатация
;exploiter;[?ks?pl??t?];эксплуататор
151;contain;[k?n?te?n];содержать
;containment;[k?n?te?nm?nt];сдерживание
152;bargain;[?b??g?n];сделка, торговаться
153;tool;[tu?l];инструмент
154;agenda;[????nd?];повестка дня
155;ancestor;[??ns?st?];предок
;ancestral;[?n?s?str?l];наследственный, родовой
156;missile;[?m?sa?l];ракета
157;elaborate;[??l?b?r?t];разработать, проработанный
;elaboration;[??l?b??re???n];разработка
158;pool;[pu?l];бассейн
159;substitute;[?s?bst?tju?t];заменять, замена
;substitution;[?s?bst??tju???n];замена
160;lone;[l??n];одинокий
;lonely;[?l??nli];одинокий
;loneliness;[?l??nl?n?s];одиночество
;lonesome;[?l??ns?m];унылый
161;amaze;[??me?z];поражать, изумлять
;amazement;[??me?zm?nt];изумление
162;blonde;[bl?nd];блондинка
;blond;[bl?nd];блондин
163;fascinate;[?f?s?ne?t];очаровывать
;fascination;[?f?s??ne???n];очарование
;fascinating;[?f?s?ne?t??];очаровательный
164;violent;[?va??l?nt];яростный, жестокий
;violence;[?va??l?ns];насилие
165;relief;[r??li?f];облегчение
166;exclude;[?ks?klu?d];исключать
;exclusion;[?ks?klu???n];исключение
;exclusive;[?ks?klu?s?v];исключительный
167;visible;[?v?z?bl];видимый
;invisible;[?n?v?z?bl];невидимый
;visibility;[?v?z??b?l?ti];видимость
;invisibility;[?n?v?z??b?l?ti];невидимость
168;roll;[r??l];рулон, клубок, свиток и т. д.
169;carry out;[?k?ria?t];выполнить
170;rape;[re?p];насиловать, изнасилование
;rapist;[?re?p?st];насильник
171;manual;[?m?nj??l];руководство, учебник
172;honor (honour);[??n?];честь, чтить
;honorary;[??n?r?ri];почётный
;honorable;[??n?r?bl];почётный
173;miss;[m?s];скучать
174;oil;[??l];масло
;oily;[???li];маслянистый
175;field;[fi?ld];поле, область
176;render;[?r?nd?];делать, придавать свойство
177;accelerate;[?k?s?l?re?t];ускорять
;acceleration;[?k?s?l??re??(?)n];ускорение
178;poke;[p??k];совать, тыкать
179;steel;[sti?l];сталь, стальной
180;bring (brought, brought);[br??];принести
181;unit;[?ju?n?t];единица, элемент
182;penalty;[?p?nlti];наказание
183;matter;[?m?t?];вещество, материя
184;conclude;[k?n?klu?d];заключать, завершать
;conclusion;[k?n?klu???n];вывод
;conclusive;[k?n?klu?s?v];заключительный, решающий
185;put smth down to;[p?tsmthda?ntu?];объяснить, списать на
186;overnight;[???v??na?t];ночной, с ночёвкой
187;poverty;[?p?v?ti];бедность, нищета
;impoverish;[?m?p?v?r??];обеднять
188;declare;[d??kle?];объявлять
;declaration;[?d?kl??re???n];объявление
189;period;[?p??r??d];точка (в предложении)
190;race;[re?s];раса
;racial;[?re???l];расовый
191;lead;[li?d];вести
192;condition;[k?n?d???n];условие
;conditional;[k?n?d???nl];условный
;unconditional;[??nk?n?d???nl];безусловный
193;bar;[b??];пластина, брусок, прут и т. д.
;bars;[b??z];решётка (напр. в тюрьме)
194;squeeze;[skwi?z];сжимать
195;cite;[sa?t];упоминать, цитировать
;citation;[sa??te???n];цитата
196;annual;[??nj??l];ежегодный
197;bow;[ba?];бант, бабочка
198;punish;[?p?n??];наказывать
;punishable;[?p?n???bl];наказуемый
;punishment;[?p?n??m?nt];наказание
;unpunished;[?n?p?n??t];безнаказанный
;punitive;[?pju?n?t?v];карательный
199;purple;[?p??pl];пурпурный, фиолетовый
200;handful;[?h?ndf?l];горсть
;armful;[???mf?l];охапка
;mouthful;[?ma??f?l];полный рот
201;witness;[?w?tn?s];свидетель
202;grade;[gre?d];оценка
203;pipe;[pa?p];трубка
204;restrain;[r?s?tre?n];ограничивать, удерживать
;restraint;[r?s?tre?nt];сдержанность
;unrestrained;[??nr?s?tre?nd];несдержанный
205;constrain;[k?n?stre?n];ограничивать (препятствием)
;constraint;[k?n?stre?nt];ограничение
;unconstrained;[??nk?n?stre?nd];непринужденный
206;suspect;[?s?sp?kt];подозревать, подозреваемый
207;converse;[k?n?v??s];разговаривать
;conversation;[?k?nv??se???n];разговор
208;liquid;[?l?kw?d];жидкость, жидкий
;liquidity;[l??kw?d?ti];текучесть, ликвидность
209;resemble;[r??z?mbl];походить
;resemblance;[r??z?mbl?ns];сходство
210;decide;[d??sa?d];решить
;decision;[d??s???n];решение
;indecision;[??nd??s???n];нерешительность
211;bold;[b??ld];смелый, дерзкий, безрассудный
;boldness;[?b??ldn?s];смелость, дерзость
212;case;[ke?s];случай, дело
;case;[ke?s];дело (уголовное)
213;determine;[d??t??m?n];определить
;determination;[d??t??m??ne???n];определение
;determined;[d??t??m?nd];решённый, решительный
;undetermined;[??nd??t??m?nd];неопределённый
;determinate;[d??t??m?n?t];определённый, решённый
214;waste;[we?st];отходы, обрезки, потери и т.п.
;wastewater;[?we?st?w??t?];сточные воды
215;regard;[r??g??d];внимание, уважение
216;difficulty;[?d?f?k?lti];трудность
217;ticket;[?t?k?t];билет, талон
218;bet;[b?t];ставка, пари, держать пари
219;settle;[?s?tl];уладить
;unsettle;[?n?s?tl];расстраивать
220;bow;[ba?];лук
221;flow;[fl??];поток, течь
222;approve;[??pru?v];утвердить, одобрить (офиц.)
;approval;[??pru?v?l];утверждение
;disapprove;[?d?s??pru?v];не одобрять
223;approve of;[??pru?v?v];одобрять (субъективно)
224;at first;[?tf??st];сначала
225;occasion;[??ke???n];случай, событие
;occasional;[??ke???nl];случайный
226;describe;[d?s?kra?b];описать
;descriptive;[d?s?kr?pt?v];описательный
;description;[d?s?kr?p??n];описание
227;rope;[r??p];верёвка
228;feature;[?fi???];черта, особенность
;featured;[?fi???d];напоминающий, похожий
229;by far;[ba?f??];безусловно
230;drum;[dr?m];барабан, барабанить
;drummer;[?dr?m?];барабанщик
231;emit;[??m?t];испускать, издавать
;emission;[??m???n];излучение
232;indeed;[?n?di?d];в самом деле
233;table;[?te?bl];таблица
234;hostile;[?h?sta?l];враждебный, неприязненный
;hostility;[h?s?t?l?ti];враждебность
235;option;[??p??n];выбор, вариант
;optional;[??p??nl];необязательный
236;significant;[s?g?n?f?k?nt];значительный
;significance;[s?g?n?f?k?ns];значение
;insignificant;[??ns?g?n?f?k?nt];незначительный
237;make fun of;[me?kf?n?f];смеяться, издеваться
238;chop;[??p];рубить
239;general;[???n?r?l];общий
;generalise;[???n?r?la?z];обобщать
;generalisation;[???n?r?la??ze???n];обобщение
240;awake;[??we?k];проснуться, бодрствующий
241;mere;[m??];всего лишь
242;perform;[p??f??m];выполнить, исполнить
;performance;[p??f??m?ns];представление
243;lawn;[l??n];газон
;lawn-mower;[?l??n?m???];газонокосилка
244;gentle;[???ntl];мягкий, тихий, нежный и т. д.
245;beyond;[b??j?nd];вне, свыше
246;hide (hid, hidden);[ha?d];скрывать
;hide away;[ha?d??we?];спрятать(ся)
;hide out;[ha?d a?t];скрываться
247;postpone;[p??st?p??n];отложить, задержать
;postponement;[p??st?p??nm?nt];отсрочка, откладывание
248;highlight;[?ha??la?t];выделить, подсветить
249;straight;[stre?t];прямой, прямо
;straighten;[?stre?tn];выпрямлять
250;deal;[di?l];сделка
;dealer;[?di?l?];торговец
;dealership;[?di?l???p];торговое агенство
251;delay;[d??le?];задерживать(ся)
252;nerd;[n??d];ботан, задрот
253;fan;[f?n];вентилятор
254;debt;[d?t];долг
;debtor;[?d?t?];должник
255;submit;[s?b?m?t];подавать информацию
256;raise;[re?z];растить (детей)
257;start up;[st??t?p];основать, установить
258;below;[b??l??];ниже, под
259;climb;[kla?m];взбираться
260;crash;[kr??];"горохот, крушение, разбивать и т.
д."
261;consist of;[k?n?s?st?v];состоять (из)
262;touch;[t??];связь, контакт
;in touch;[?nt??];на связи
263;gene;[?i?n];ген
264;neighbour;[?ne?b?];сосед
;neighborhood (hood);[?ne?b?h?d];окрестности, район
;neighbouring;[?ne?b?r??];близлежащий, соседний
265;tender;[?t?nd?];нежный
;tenderness;[?t?nd?n?s];нежность
266;tell apart;[t?l??p??t];различать
267;follow;[?f?l??];следовать, следить
;following;[?f?l????];следующий
;as follows;[?z?f?l??z];следующим образом
;follower;[?f?l???];последователь
268;grocery;[?gr??s?ri];продуктовый
269;consult;[k?n?s?lt];советоваться
270;vague;[ve?g];смутный
;vagueness;[?ve?gn?s];неопределенность
271;jury;[????ri];жюри или присяжные
;juror;[????r?];присяжный
272;announce;[??na?ns];объявлять
;announcement;[??na?nsm?nt];объявление
273;bring back;[br??b?k];вернуть
;give back;[g?vb?k];отдать
;take back;[te?kb?k];забрать
274;stick;[st?k];палка, тыкать палкой
275;as though;[?z???];как будто
276;court;[k??t];суд
;courtroom;[?k??tr?m];зал суда
;courthouse;[?k??t?ha?s];здание суда
277;tear (tore, torn);[te?];рвать
;tear apart;[te?r??p??t];раздирать
278;watch;[w??];часы (наручные)
279;seek (sought, sought);[si?k];искать, стремиться
280;naked;[?ne?k?d];голый
;nakedness;[?ne?k?dn?s];нагота
281;strain;[stre?n];напрягать, напряжение
282;wear (wore, worn);[we?];надевать, носить
283;blast;[bl??st];дуновение, порыв
284;grain;[gre?n];зерно, крупица
285;drop out of;[dr?pa?t?v];бросить (учёбу)
;dropout;[?dr?pa?t];бросивший учёбу студент
286;fireplace;[?fa???ple?s];камин
287;quantity;[?kw?nt?ti];количество
;quantitative;[?kw?nt?t?t?v];количественный
288;crawl;[kr??l];ползать
289;bag;[b?g];сумка, мешок
;handbag;[?h?ndb?g];сумка
;baggy;[?b?gi];мешковатый
290;grave;[gre?v];могила
;graveyard;[?gre?vj??d];кладбище (у церкви)
291;make up;[me?k?p];выдумать
;think up;[???k?p];придумать
;dream up;[dri?m?p];выдумывать
292;practice;[?pr?kt?s];практика, практиковать
293;entitle;[?n?ta?tl];давать название
294;pile;[pa?l];куча, стопка
;stockpile;[?st?kpa?l];запас
295;surface;[?s??f?s];поверхность
296;duckling;[?d?kl??];утёнок
297;conduct;[?k?nd?kt];вести
;conductor;[k?n?d?kt?];проводник
;misconduct;[m?s?k?nd?kt];проступок
298;lawsuit;[?l??sju?t];тяжба, судебное дело
299;seize;[si?z];схватить
;seizure;[?si???];захват
300;innocent;[??n?s?nt];невинный, невиновный
;innocence;[??n?s?ns];невинность
301;curious;[?kj??r??s];любопытный
;curiosity;[?kj??r???s?ti];любопытство
302;well;[w?l];колодец
303;environment;[?n?va??r?nm?nt];среда, окружение
;environmental;[?n?va??r?n?m?ntl];экологическая
304;clear;[kl??];ясный, чистый
;clearer;[?kl??r?];очиститель
;unclear;[?n?kl??];неясный
;clearance;[?kl??r?ns];зазор
305;envelope;[??nv?l??p];конверт
306;fill in;[f?l?n];заполнить
;fill out;[f?la?t];заполнять
307;see off;[si??f];провожать (в путь)
;see out;[si?a?t];проводить (до выхода)
308;credible;[?kr?d?bl];заслуживающий доверия
;credibility;[?kr?d??b?l?ti];правдоподобие
309;respond;[r?s?p?nd];отвечать
;respondent;[r?s?p?nd?nt];тот, кто отвечает
310;gain;[ge?n];получать, выигрывать
311;anymore;[??ni?m??];больше (не)
312;urgent;[?????nt];срочный
;urgency;[?????nsi];острая необходимость
313;honey;[?h?ni];мёд
314;match;[m??];соответствие
;mismatch;[?m?s?m??];несоответствие
315;equip;[??kw?p];оснащать, снаряжать
;equipment;[??kw?pm?nt];оборудование
316;bump;[b?mp];шишка, выпуклость
317;island;[?a?l?nd];остров
318;hand over;[h?nd???v?];передать
319;proper;[?pr?p?];правильный, надлежащий
;properly;[?pr?p?li];должным образом
;improper;[?m?pr?p?];неподходящий
320;enhance;[?n?h??ns];повысить, усилить, расширить
;enhancement;[?n?h??nsm?nt];усиление
321;nuclear;[?nju?kl??];ядерный
322;tournament;[?t??n?m?nt];турнир
323;stem;[st?m];стебель
324;inner;[??n?];внутренний
325;outer;[?a?t?];внешний
326;inspire;[?n?spa??];вдохновить, внушить
;inspiration;[??nsp??re???n];вдохновение
;inspirational;[??nsp??re???n(?)l];вдохновляющий
327;spare;[spe?];щадить, избавить
328;capable;[?ke?p?bl];способный к ч-л.
;incapable;[?n?ke?p?bl];неспособный
;capability;[?ke?p??b?l?ti];возможность
329;dry up;[dra??p];пересохнуть, иссякнуть
330;brick;[br?k];кирпич
;bricklayer;[?br?k?le??];каменщик
;brickwork;[?br?kw??k];кирпичная кладка
331;move;[mu?v];переезжать
332;garlic;[?g??l?k];чеснок
333;Christmas;[?kr?sm?s];Рождество
334;trial;[?tra??l];испытание, пробный
335;nightmare;[?na?tme?];кошмар
336;plant;[pl??nt];растение, сажать
;planting;[?pl??nt??-посадка];посадка
;plantation;[pl?n?te???n];насаждения, плантация
337;resolute;[?r?z?lu?t];решительный, твёрдый
;resolution;[?r?z??lu???n];решение, решимость
338;victim;[?v?kt?m];жертва
;victimize;[?v?kt?ma?z];делать жертвой
339;appeal;[??pi?l];обращаться, взывать
;appealing;[??pi?l??];привлекательный, трогательный
340;barely;[?be?li];едва, еле-еле
341;issue;[???u?];издать, выпустить, выпуск
342;per;[p??];(кол-во) на (единицу)
343;alter;[???lt?];изменять
;alteration;[???lt??re??(?)n];внесение изменений
;alterable;[???lt?r?bl];изменяемый
;unaltered;[?n???lt?d];неизменный
;unalterable;[?n???lt?r?bl];непреложный
344;pound;[pa?nd];фунт
345;seat;[si?t];место, сиденье
346;candy;[?k?ndi];конфеты
347;meanwhile;[?mi?n?wa?l];тем временем
348;railway;[?re?lwe?];железная дорога
;railroad;[?re?lr??d];железная дорога
349;closet;[?kl?z?t];стенной шкаф
350;violate;[?va??le?t];нарушать
;violation;[?va???le???n];нарушение
;violator;[?va??le?t?];нарушитель, преступник
351;front;[fr?nt];перед, передний
;in front of;[?nfr?nt?v];перед
;frontal;[?fr?ntl];передний, лобовой
352;take care;[te?kke?];позаботиться, заняться
;caretaker;[?ke??te?k?];смотритель
353;authorities;[?????r?tiz];органы власти
354;matter;[?m?t?];дело, вопрос
355;thank;[???k];благодарить
;thankful;[????kf?l];благодарный
;thankless;[????kl?s];неблагодарный
356;get through;[g?t?ru?];дозвониться
357;cup;[k?p];чашка, кружка, кубок
358;take off;[te?k?f];снять
359;devote;[d??v??t];посвятить, уделить
;devotion;[d??v????n];преданность
360;assume;[??sju?m];принимать на себя
;assumption;[??s?mp?(?)n];принятие
361;array;[??re?];ряд, порядок, строй
362;shelter;[???lt?];укрытие, убежище
363;contrary;[?k?ntr?ri];противоположный, вопреки
364;diminish;[d??m?n??];уменьшаться
;diminution;[?d?m??nju???n];снижение, сокращение
365;offer;[??f?];предлагать, предложение
366;set out;[s?ta?t];разъяснять
367;complain;[k?m?ple?n];жаловаться
;complaint;[k?m?ple?nt];жалоба
368;favor (favour);[?fe?v?];услуга
369;commitment;[k??m?tm?nt];приверженность
370;intervene;[??nt?(?)?vi?n];вмешиваться
;intervention;[??nt?(?)?v?n??n];вмешательство
371;error;[??r?];ошибка
;erroneous;;ошибочный
372;hike;[ha?k];поход, ходить в поход
;hitchhike;[?h???ha?k];автостоп
373;blink;[bl??k];мерцать, мигать
374;strip;[str?p];полоса, лента
375;curl;[k??l];скручивать, клубиться, завиток
;curly;[?k??li];кудрявый
376;concrete;[?k?nkri?t];бетон, бетонировать
377;fold;[f??ld];сворачивать, складывать
378;science;[?sa??ns];наука
;scientific;[?sa??n?t?f?k];научный
;scientist;[?sa??nt?st];ученый
379;contest;[?k?nt?st];соревнование, конкурс
;contestant;[k?n?t?st?nt];участник, конкурсант
380;bond;[b?nd];связь, узы, соединение
381;retreat;[r??tri?t];отступать
382;suspend;[s?s?p?nd];приостановить, подвесить
;suspension;[s?s?p?n??n];приостановление
;suspense;[s?s?p?ns];"подвешенность,
неопределённость"
;suspended;[s?s?p?nd?d];отсроченный, условный (приговор)
383;fry;[fra?];жарить
384;domestic;[d???m?st?k];домашний
;domesticate;[d???m?st?ke?t];приручить, одомашнить
385;ease;[i?z];лёгкость, облегчать
;uneasy;[?n?i?zi];тревожный
;uneasiness;[?n?i?z?n?s];тревожность
386;graduate;[?gr?dj??t];выпускник, выпускаться
;undergraduate;[??nd??gr?dj??t];студент
;graduation;[?gr?dj??e???n];выпуск
;postgraduate;[?p??st?gr?dj??t];аспирант
387;patch;[p??];заплатка, латать
388;tire (tyre);[?ta??];шина
389;unless;[?n?l?s];если не
390;shift;[??ft];сменить, сдвинуть
;shifty;[???fti];ловкий, изворотливый
391;hood;[h?d];капот, кожух
392;waste;[we?st];тратить (впустую)
;wasteful;[?we?stf?l];расточительный, разорительный
393;notice;[?n??t?s];заметить
;unnoticed;[?n?n??t?st];незамеченный
394;enormous;[??n??m?s];огромный
395;hook;[h?k];крюк, зацеплять
;hooked;[h?kt];крючковатый, кривой
396;partisan;[?p??t??z?n];сторонник
;partisanship;[?p??t??z?n??p];приверженность, поддержка
397;angry;[???gri];злой
398;measure;[?m???];мера, мероприятие
399;doubt;[da?t];сомневаться, сомнение
;doubtful;[?da?tf?l];сомнительный
;doubtless;[?da?tl?s];несомненный
400;stiff;[st?f];жёсткий, негнущийся
;stiffness;[?st?fn?s];жесткость
;stiffen;[?st?fn];деревенеть
401;preach;[pri??];проповедовать
;preacher;[?pri???];проповедник
402;come off;[k?m?f];выйти, получиться
;come of;[k?m?v];получиться (как результат)
403;rail;[re?l];рельс, перила
;railing;[?re?l??];перила
;derail;[d??re?l];сходить с рельс
404;male;[me?l];мужской
405;female;[?fi?me?l];женский
406;proof;[pru?f];доказательство (неисч.)
